country,mail
Germany/Africa,accounting.lufthansa-germany@icat.dlh.de
Europe / Israel,Accounting.lufthansa@icat.dlh.de
"Algeria, Libya, Tunisia",tn.fournisseurs@icat.dlh.de
"Egypt, Jordan, Lebanon",eg.accounting.vendors@icat.dlh.de
Argentina,ar.proveedores@icat.dlh.de
United States,us.passage.vendors@icat.dlh.de
Brazil,br.fornecedores@icat.dlh.de
Canada,ca.accounting.vendors@icat.dlh.de
Colombia,co.passage.vendors@icat.dlh.de
Mexico,co.proveedores@icat.dlh.de
Asia & Middle east,mnl.accountsreceivable@icat.dlh.de
Australia,au.accounting.vendors@icat.dlh.de
China,cn.accounting.vendors@icat.dlh.de
Hong Kong,hk.accounting.vendors@icat.dlh.de
India,in.accounting.vendors@icat.dlh.de
Indonesia,id.accounting.vendors@icat.dlh.de
Iran,ir.accounting.vendors@icat.dlh.de
Japan,jp.accounting.vendors@icat.dlh.de
Korea,kr.accounting.vendors@icat.dlh.de
Malaysia,my.accounting.vendors@icat.dlh.de
Morocca,ma.fournisseurs@icat.dlh.de
New Zealand,nz.accounting.vendors@icat.dlh.de
Philippines,ph.accounting.vendors@icat.dlh.de
Singapore,sg.accounting.vendors@icat.dlh.de
Thailand,th.accounting.vendors@icat.dlh.de
United Arab Emirates,ae.accounting.vendors@icat.dlh.de
Vietnam,vn.accounting.vendors@icat.dlh.de
